"CAS","odor_goodscents"
"72175-33-8","fruity floral sugary jasmin magnolia rose clover melon"
"35234-21-0","winey fruity green"
"13679-74-8","sweet spicy honey hawthorn almond acacia hyacinth caramellic graham cracker"
"34365-79-2","green galbanum alliaceous"
"5205-07-2","fruity"
"34322-06-0","green galbanum sulfurous"
"65416-26-4","fruity apricot and raspberry woody cedarous flowery"
"591-48-0","citrus"
"1335-86-0","citrus"
"83150-77-0","grapefruit"
"70172-07-5","dry woody fruity ethereal"
"25225-09-6","camphoreous minty"
"84642-57-9","intensively woody, animal-like; extremely diffusive, excellent tenacity"
"18309-28-9","minty"
"15932-80-6","minty"
"17369-60-7","caramel fruity spicy"
"7785-53-7","lilac floral"
"362467-67-2","marine"
"357650-26-1","fruity rose dried apple plum raisin dried fruit"
"2874-76-2","soapy waxy slight citrus slight woody"
"5948-04-9","warm herbal"
"473-13-2","amber"
"20307-84-0","sweet herbal woody"
"33204-74-9","minty spearmint"
"65330-49-6","caramellic fruity brandy strawberry"
"84110-41-8","fruity green anise"
"5953-76-4","pungent ethereal"
"30364-38-6","licorice"
"2278-53-7","fruity tobacco melon"
"16493-80-4","goaty lamb/mutton fatty"
"33046-81-0","fruity floral"
"10321-71-8","fatty fruity black tea"
"67936-13-4","toasted sulfury sweet cocoa chocolate"
"94159-31-6","roasted nutty"
"94159-32-7","roasted nutty"
"3581-87-1","green vegetable"
"57246-60-3","green bell pepper"
"31883-01-9","nut green earthy"
"85180-66-1","balsam"
"3390-12-3","fruity green grassy"
"74094-60-3","nutty fatty"
"93804-64-9","mild green floral lily muguet"
"94089-23-3","fatty buttery"
"24545-81-1","minty pungent"
"67715-80-4","green tropical galbanum pineapple"
"3877-15-4","alliaceous creamy green leek"
"19141-40-3","floral hyacinth hawthorn foliage fruity peony"
"147159-49-7","powerful aldehydic citrus waxy floral clean"
"55546-11-7","floral woody chemical fruity berry green gooseberry"
"13786-79-3","woody amber"
"26563-75-7","waxy green fruity vegetable"
"771-03-9","odorless"
"55764-25-5","roasted meat sulfurous eggy burnt cooked fried"
"2527-76-6","medicinal"
"539-52-6","woody"
"1515-95-3","anise"
"33941-99-0","indole floral jasmin hyacinth"
"59324-17-3","sulfurous green onion garlic tropical"
"17699-16-0","woody balsam"
"15537-55-0","balsam"
"1073-11-6","fruity minty"
"68938-58-9","green, fresh, slightly dirty, chemical, and metallic"
"4884-24-6","fruity green minty aldehydic woody"
"92-68-2","floral orris cyclamen woody ozone fresh"
"7500-42-7","sweet tobacco herbal"
"2363-88-4","orange sweet fresh citrus fatty green, fatty, oily, green, chicken skin-like"
"4941-78-0","musk"
"91069-39-5","creamy peachy lactone"
"91069-40-8","slight cinnamic aldehyde creamy lactone"
"3913-71-1","fatty orange rose aldehydic floral green"
"1576-96-1","mushroom"
"10493-98-8","maple caramel"
"626-98-2","pungent fatty"
"2009-74-7","green,oily,herbal"
"5925-68-8","sulfurous cabbage garlic potato vegetable"
"4829-04-3","sweet sulfurous onion"
"50363-43-4","sulfurous alliaceous tomato"
"54889-48-4","green citrus oily fatty woody spicy fruity, green, citrus, oily and fatty with a woody, spicy and fruity nuance"
"136954-25-1","sulfury metallic buchu catty sweet fruity tropical, sulfurous, metallic, buchu-like cattiness, sweet fruity tropical with lingering apricot and peach notes. green vegetative with onion and garlic notes. slight burnt rubber nuances"
"233665-96-8","tropical fruity red fruit pineapple sulfurous, tropical fruity, red fruit, pineapple with sulfurous, earthy, fatty and waxy nuances"
"774-55-0","floral orangeflower musk grape"
"34300-94-2","roasted spicy sweet vegetable"
"50746-10-6","sulfurous catty caramelised onion; roast coffee, roast meat, with a tropical nuance on dilution"
"74595-94-1","meaty smoked bacon"
"5058-19-5","green"
"644-98-4","green vegetable cortex"
"85554-72-9","pear"
"63095-33-0","creamy coconut buttery"
"4396-62-7","pungent meaty"
"505-90-8","fatty green"
"5943-34-0","sulfurous garlic"
"26728-44-9","fruity dry dusty citrus sweet licorice rose spicy fennel"
"197098-61-6","fruity"
"35448-31-8","fishy"
"20859-10-3","tropical oily green herbal fruity"
"115724-27-1","fresh floral rose tropical fruity"
"35720-57-1","musk"
"38303-23-0","green herbal terpenic earthy woody"
"57345-19-4","dry amber powdery woody musk"
"2550-59-6","musk"
"154171-77-4","dry woody vetiver amber powdery musk fruity"
"142653-61-0","green fruity tropical floral violet oily cucumber fatty"
"24276-84-4","sweet clove phenolic"
"68259-31-4","aldehydic fatty green metallic"
"68311-05-7","green woody ozone"
"1333-53-5","green metallic earthy leafy"
"41270-80-8","fruity grape"
"102322-83-8","hazelnut nutty"
"122760-84-3","woody spicy ginger cardamom"
"122760-85-4","woody amber vetiver"
"68921-26-6","fresh fruity citrus green nutmeg spicy"
"18114-49-3","butter roasted"
"91069-37-3","rich woody lactone"
"65817-24-5","coconut"
"29127-83-1","green fatty orris"
"27039-84-5","fruity berry"
"10521-96-7","sweet fruity rum"
"15373-31-6","pine rosemary hay"
"37645-61-7","green herbal"
"2918-13-0","metallic"
"131671-56-2","fish"
"619-62-5","herbal"
"931-57-7","herb spice"
"999-10-0","caramel"
"497-03-0","strong green fruit"
"1197-06-4","caraway"
"1197-15-5","fatty spicy"
"2313-01-1","spice"
"2497-25-8","tallow"
"4192-77-2","floral honey balsamic"
"4430-36-8","cabbage radish"
"4430-42-6","cabbage radish"
"4959-35-7","fresh citrus"
"5009-32-5","fruity baked"
"5273-85-8","spicy flower"
"5704-20-1","truffle earthy nutty"
"6125-24-2","flower spice"
"7774-73-4","cooked meat garlic"
"10307-61-6","fresh fruity apple peach"
"10395-54-7","camphoreous herbal rosemary lavender borneol-like carrot parsley earthy"
"13837-75-7","fresh citrus"
"14009-71-3","citrus green"
"14575-74-7","camphor"
"15051-81-7","sweet woody floral"
"15707-34-3","burnt popcorn roasted cocoa"
"17042-24-9","roasted meat"
"18060-79-2","mustard horseradish"
"18368-95-1","turpentine camphor herbal woody, oily, chemical, cooling, woody, pine, camphoreous and thymol-like with an herbal and tropical nuance"
"18433-98-2","fruity"
"18607-93-7","spicy pepper"
"18675-35-9","woody spice"
"19846-22-1","earthy"
"19888-33-6","herbal"
"53447-45-3","fresh flowery"
"20664-46-4","fatty fruity green leaf walnut"
"21661-99-4","green geranium pungent"
"21944-83-2","fatty soapy cucumber"
"24415-26-7","pungent mushroom"
"24703-35-3","green woody weedy"
"25152-83-4","fried fatty geranium green waxy"
"25343-57-1","caramellic"
"26486-13-5","sulfurous roasted meaty savory"
"26927-90-2","pine balsam herbal"
"27300-27-2","roasted caramel bready"
"28973-97-9","citrus green"
"28982-60-7","oily herbal"
"29790-29-2","woody"
"29837-12-5","spicy fruity mango"
"29873-99-2","green woody oily"
"31331-53-0","thiamine"
"31539-84-1","floral lemon grapefruit"
"31823-43-5","cucumber"
"33580-05-1","green plastic"
"34318-21-3","spicy"
"36564-42-8","herbal"
"38284-27-4","fruity fatty mushroom"
"38427-78-0","terpentine"
"39638-67-0","spicy coconut clove celery incense"
"43160-78-7","fatty"
"51193-77-2","nutty"
"52558-99-3","garlic"
"54290-12-9","alkane"
"55013-32-6","sweet spicy coconut vanilla"
"55041-85-5","amine grass hay smoky solvent worty"
"57461-21-9","floral green"
"58181-76-3","flower oily"
"59121-25-4","broccoli cabbage"
"59303-05-8","sulfurous roasted coffee"
"65128-99-6","roasted"
"65767-22-8","geranium metallic"
"65909-91-3","seaweed"
"69064-37-5","oily fatty"
"69134-53-8","cotton candy"
"72203-97-5","green"
"72203-98-6","green"
"73744-93-1","sweet fruity herbal"
"75832-79-0","blackcurrant"
"80041-00-5","coconut"
"80041-01-6","flower lactone"
"81018-77-1","flower green"
"83861-74-9","earthy mushroom geranium leaf green marine"
"1314926-27-6","nutty roasted ham sweet"
"85761-70-2","green leafy"
"92356-06-4","green earthy citrus"
"526214-70-0","flowery"
"105683-99-6","tallow green cucumber"
"109351-28-2","fatty"
"113486-29-6","fruity straw caramel burnt"
"114791-16-1","woody spicy"
"120021-96-7","oily"
"123123-38-6","sweet woody"
"128386-31-2","metal"
"133447-37-7","fishy roasted"
"134346-43-3","metal"
"134452-45-2","metal"
"188590-62-7","citrus metallic green aldehydic"
"134454-31-2","citrus metallic green aldehydic"
"136954-20-6","floral fruity pear tropical passion fruit blackberry raspberry black currant bud"
"147159-48-6","green cucumber"
"157615-33-3","earthy musty"
"168564-54-3","musty dusty"
"181589-32-2","earthy"
"182699-77-0","coconut dill spicy sweet"
"359794-78-8","earthy musty"
"6712-79-4","woody warm balsam"
"39028-58-5","woody"
"526214-71-1","flowery"
"53447-48-6","sweet flowery"
"526214-73-3","flowery fresh"
"53447-47-5","sweet flowery"
"53447-46-4","flowery fresh"
"88642-03-9","musk balsamic powdery clean"
"211238-85-6","floral lily of the valley warm rich natural"
"39721-65-8","floral violet fruity woody"
"1767-46-0","spicy nutty green sour"
"33204-48-7","burnt cocoa coffee"
"1730-97-8","fresh fruity cocoa coffee"
"1730-94-5","green fresh fruity pungent"
"52745-93-4","fatty caprylic"
"1730-89-8","caprylic slightly fatty"
"128342-71-2","muttony goaty"
"128342-72-3","mutton goat"
"124918-65-6","weak sweaty"
"14639-25-9","odorless"
"139164-92-4","green earthy acid meat"
"24587-53-9","moldy grassy herbal green musty"
"79646-41-6","mushroom cheesy fruity"
"123878-29-5","heavy metallic aldehydic"
"74867-43-9","heavy aldehydic lactone"
"90180-88-4","sulfury herbal"
"90180-90-8","fruity juicy tropical fruits grapefruit blackcurrant buchu mango guava"
"577969-21-2","sulfury rubber-like"
"577969-22-3","green citrus peel fruity"
"90180-89-5","tropical fruity exotic"
"90180-91-9","spice"
"56006-48-5","herbal earthy"
"7511-41-3","sweet herbal musty"
"135910-94-0","hazelnut soft butter chocolate metallic"
"122440-59-9","hazelnut metallic fatty pyidine"
"828300-39-6","grapefruit passion fruit blackcurrant onion"
"19041-15-7","faint"
"58917-25-2","faint sweet"
"41035-07-8","sweet creamy coconut woody"
"63357-95-9","sweet coconut hay herbal"
"31323-51-0","fatty coconut fruity sweet"
"88270-38-6","sweet spicy herbal hay coumarin"
"107797-25-1","fatty coconut"
"107797-24-0","spicy green coconut almond"
"63357-97-1","fatty moldy weak coconut"
"63357-96-0","sweet soft coconut fatty milky"
"107797-27-3","soft sweet coconut fruity fatty"
"107797-26-2","strong fatty sweet fruity coconut caramel"
"74568-05-1","fatty sweet aldehyde"
"74568-06-2","strong fatty sweet peach"
"69830-92-8","fatty fruity milky"
"69830-91-7","fruity sweet bloomy aldehydic woody"
"59285-67-5","sweet fruity peach fatty butter"
"2825-91-4","sweet fruity milk"
"108861-13-8","fruity sweet milky"
"108861-12-7","fruity sweet creamy"
"108943-47-1","fruity sweet"
"29587-89-1","fruity sweet apricot lactonic"
"341017-24-1","green floral fruity"
"125412-70-6","herbal celery"
"3413-15-8","herbal celery"
"38427-80-4","dusty woody fresh green sour spicy herbal fruity animal"
"1119-38-6","sweet mild soft flowery"
"10403-00-6","powerful musky rich musk"
"141773-73-1","musk ambrette fruity pear woody floral"
"75166-30-2","lily of the valley"
"75166-31-3","lily of the valley"
"5173-70-6","earthy musty dirt"
"5173-69-3","earthy musty"
"17957-94-7","mint leafy herbal camphoreous"
"80183-38-6","herbal fatty thyme turpentine"
"34713-70-7","floral green hyacinth"
"16197-92-5","fruity floral jasmin mimosa gardenia apricot apple"
"667420-92-0","roasted metallic oily sharp ammonia shell shrimp"
"737776-59-9","lily of the valley cyclamen aldehydic sweet fruity lemon"
"737776-68-0","green floral marine ozone fruity sweet cumin"
"102-22-7","aromatic fruity honey geranium"
"104864-90-6","natural sandalwood"
"10339-61-4","green waxy melon cucumber"
"19407-28-4","woody spicy herbal"
"585-25-1","dill asparagus cilantro herbal aldehydic earthy fatty cortex"
"51685-40-6","green"
"113889-23-9","fruity green peach orchid balsam woody"
"106233-09-4","bland"
"632-15-5","savory roasted onion"
"5912-87-8","spicy clove"
"400052-49-5","sulfurous green tropical fruit black currant bud passion fruit tropical fatty herbal"
"227456-27-1","sulfurous onion"
"54644-28-9","sulfurous"
"638-17-5","sulfurous nutty hazelnut corn meaty earthy clam"
"35379-09-0","sulfurous"
"3698-95-1","earthy baked potato roasted peanut"
"122861-78-3","sulfurous sweet green"
"10152-77-9","acidic garlic"
"292-46-6","mushroom"
"72611-71-3","tropical fruit green nut"
"873-64-3","burnt hazelnut cocoa"
"2051-04-9","sweet onion"
"72437-64-0","sulfurous"
"51352-68-2","tropical fruity milky dairy"
"74585-00-5","sweet creamy nutty"
"67114-38-9","fatty buttery oily nutty"
"6263-65-6","sulfurous floral tropical meaty"
"63253-24-7","vanilla creamy chocolate powdery caramellic dairy custard gourmand balsamic malty"
"169054-69-7","citrus fruity floral orange peel fatty waxy green herbal beeswax"
"29926-42-9","meaty nutty cooked roasted"
"72437-68-4","sulfurous onion"
"30086-02-3","fruity green grassy"
"220621-22-7","minty menthol"
"20675-95-0","sweet spicy"
"28343-22-8","phenolic animal leather"
"30390-50-2","aldehydic fatty citrus orange"
"13162-46-4","green buttery spicy baked fruity fatty aldehydic chicken"
"51325-37-2","green citrus"
"56269-22-8","green cucumber melon aldehydic"
"2100-17-6","roasted"
"51534-36-2","citrus waxy fatty green floral"
"5090-41-5","fatty"
"57006-87-8","winey brandy rummy"
"9005-34-9","odorless"
"65213-86-7","earthy"
"11050-62-7","waxy lactonic floral fruity, waxy, lactonic, fatty, floral and fruity with creamy, spicy undernotes"
"37160-77-3","brown nutty"
"1561-11-1","sour cheesy"
"2441-06-7","pineapple strawberry tea honey"
"67233-91-4","fruity fatty"
"78417-28-4","mild fatty"
"1117-65-3","tropical fruity winey"
"63986-03-8","sulfurous cooked onion garlic"
"6963-52-6","banana fruity fleshy ripe"
"579-94-2","moldy"
"139564-42-4","sweet fruity"
"35234-22-1","fruity"
"10072-05-6","fruity orange leaf petitgrain"
"13049-88-2","fleshy pear green tropical herbal"
"1731-81-3","oily clean waxy"
"57743-63-2","sweet spicy woody"
"33368-82-0","sulfurous alliaceous"
"2444-49-7","strong garlic onion"
"30453-31-7","alliaceous garlic green onion"
"61122-71-2","fermented tropical dairy creamy cheesy vegetable"
"31499-71-5","alliaceous garlic green onion"
"33368-80-8","sulfurous"
"5925-75-7","alliaceous dairy sulfurous milky vegetable"
"53626-94-1","sulfurous fruity tropical durian passion fruit"
"127931-21-9","pungent dry strawberry sweet"
"136954-21-7","sulfurous passion fruit fruity tropical overripe fruit"
"22940-86-9","sweet balsam"
"4208-57-5","balsamic"
"83469-85-6","spicy aldehydic fatty"
"64280-32-6","floral fruity"
"77311-02-5","boiled beef"
"30408-61-8","burnt roasted"
"58066-86-7","roasted coffee"
"65545-81-5","berry"
"5555-90-8","sweet spicy"
"3511-32-8","herbaceous sweet"
"34003-72-0","sweet hay coumarinic"
"42134-50-9","citrus fatty fruity soapy"
"376595-42-5","spicy floral"
"61295-44-1","spicy floral"
"114099-96-6","sweet ethereal fruity tropical green weedy earthy wasabi"
"85213-22-5","popcorn toasted grain malty"
"99583-29-6","popcorn toasted grain malty"
"54300-10-6","roasted aromatic green"
"22047-27-4","popcorn"
"6982-72-5","earthy roasted"
"22047-26-3","roasted coffee cocoa popcorn"
"136954-22-8","fruity sulfurous tropical passion fruit"
"38917-61-2","burnt earthy nutty roasted coffee"
"7533-07-5","cooked meat"
"54411-06-2","fruity berry earthy"
"92900-67-9","roasted, roasted nut, crisp bacon-like and pork rind-like"
"54934-99-5","powerful crispy bacon"
"41981-71-9","green nutty"
"4276-68-0","fruity green mango"
"54717-17-8","alliaceous roasted fried onion leek fatty scallion"
"116505-60-3","meaty cooked roasted"
"19961-52-5","chocolate fishy pyrazine"
"40323-88-4","sulfurous ethereal solvent fruity burnt"
"51647-38-2","sulfurous"
"13679-83-9","green fruity"
"14109-72-9","melon"
"5333-83-5","grilled roast beefy meaty"
"164524-93-0","nutty cooked roasted popcorn"
"101417-25-8","nutty cooked roasted popcorn"
"541-35-5","nutty"
"38284-11-6","sweet camphor"
"72472-02-7","green woody terpenic"
"85-32-5","odorless"
"32951-19-2","sulfurous"
"109537-55-5","sulfurous meaty"
"579-93-1","fruity"
"26131-91-9","burnt roasted"
"608514-56-3","meaty spicy"
"608514-55-2","meaty herbal"
"18836-52-7","spicy herbal"
"544714-08-1","cool minty"
"5724-81-2","ammoniacal shrimp seafood"
"313973-37-4","sweet green galbanum fruity pineapple tropical orchid metallic weedy herbal"
"227456-33-9","sulfurous"
"156324-82-2","menthol"
"246511-74-0","sweet chocolate"
"39026-94-3","fruity green vegetable cheesy walnut"
"5921-83-5","sweet floral rose pear"
"252736-36-0","sulfurous alliaceous garlic"
"233665-98-0","sulfurous"
"156472-94-5","sulfurous roasted sweet sour"
"54653-25-7","fruity pineapple"
"104228-51-5","sulfury meaty"
"252736-39-3","sulfury roasted meat onion"
"26486-21-5","sulfury roasted meat onion"
"817-88-9","floral fruity"
"67452-27-1","oily estery fruity juicy orange floral rose spicy"
"83926-73-2","floral bois de rose coriander"
"14129-48-7","coconut fruity"
"818-57-5","green fruit"
"172201-58-0","sweet fatty peach"
"101426-31-7","roasted nutty"
"645-67-0","sweet caramellic"
"5862-47-5","tropical melon sweet rancid meat"
"180348-60-1","sweet minty"
"42075-42-3","sharp fruity"
"13678-69-8","praline woody"
"36219-73-5","citrus fatty"
"11029-12-2","odorless"
"4430-39-1","radish"
"591-82-2","green"
"628-03-5","green"
"4404-45-9","sharp green"
"3386-97-8","aromatic pungent"
"629-12-9","green"
"195863-84-4","cool minty"
"74094-62-5","sweet fatty floral"
"58244-29-4","mild floral bitter almond cherry fruity"
